Palabra,Descripción,Importancia,Imagen
Programación,Proceso de crear programas mediante lenguajes de programación.,95,https://cdn-icons-png.flaticon.com/512/2721/2721270.png
Algoritmo,Conjunto de pasos lógicos para resolver un problema.,90,https://cdn-icons-png.flaticon.com/512/2206/2206368.png
IA,Campo que busca que las máquinas imiten la inteligencia humana.,98,https://cdn-icons-png.flaticon.com/512/4712/4712107.png
BD,Colección estructurada de información que puede consultarse fácilmente.,88,https://cdn-icons-png.flaticon.com/512/1055/1055646.png
Redes,Conjunto de dispositivos conectados para compartir recursos y datos.,85,https://cdn-icons-png.flaticon.com/512/3208/3208676.png
Ciberseguridad,Protege sistemas y datos contra accesos o ataques no autorizados.,92,https://cdn-icons-png.flaticon.com/512/3135/3135715.png
Hardware,Parte física de una computadora: CPU, RAM, discos, etc.,80,https://cdn-icons-png.flaticon.com/512/2103/2103832.png
Software,Parte lógica de una computadora: programas y aplicaciones.,84,https://cdn-icons-png.flaticon.com/512/3662/3662857.png
Nube,Uso de servidores remotos para almacenar y procesar datos en línea.,89,https://cdn-icons-png.flaticon.com/512/1048/1048953.png
ML,Subcampo de la IA que permite a las máquinas aprender de datos.,97,https://cdn-icons-png.flaticon.com/512/4712/4712108.png
Blockchain,Tecnología que garantiza transacciones seguras y descentralizadas.,91,https://cdn-icons-png.flaticon.com/512/2910/2910768.png
SO,Programa que gestiona los recursos y procesos de una computadora.,83,https://cdn-icons-png.flaticon.com/512/2306/2306154.png
Big Data,Análisis de grandes volúmenes de datos para obtener información útil.,86,https://cdn-icons-png.flaticon.com/512/3514/3514341.png
RV,Tecnología que crea entornos digitales inmersivos.,82,https://cdn-icons-png.flaticon.com/512/4261/4261174.png
CC,Rama avanzada que usa principios cuánticos para procesar información.,99,https://cdn-icons-png.flaticon.com/512/4712/4712109.png
